timestamp,username,role,event,detail,ip
2026-05-15 13:50:06,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:13,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:14,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:22,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:25,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:28,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:30,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:31,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:31,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:31,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:32,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:32,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:32,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:33,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:33,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:34,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:41,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:46,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:46,user12,user,PREDICTION_RUN,prob=0.01 risk=Low,localhost
2026-05-15 13:50:46,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:46,user12,user,PREDICTION_RUN,prob=0.01 risk=Low,localhost
2026-05-15 13:50:54,user12,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:50:54,user12,user,PREDICTION_RUN,prob=0.01 risk=Low,localhost
2026-05-15 13:51:11,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:13,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:14,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:17,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:21,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:24,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:51:24,user12,user,LOGOUT,,localhost
2026-05-15 13:58:20,div-dev,—,LOGIN_FAILED,username not found,localhost
2026-05-15 13:58:28,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 13:58:28,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
